Participants,Type of Meal,Date of Meal,Meal Price,Year,Day of The Month,Day of The Week
['David Bishop'],Breakfast,2016-05-31 07:00:00+02:00,469,2016,27,Friday
['David Bishop'],Dinner,2018-10-01 20:00:00+02:00,22,2018,27,Thursday
['Karen Stansell'],Lunch,2014-08-23 14:00:00+02:00,314,2014,24,Sunday
['Addie Patino'],Dinner,2014-04-07 21:00:00+02:00,438,2014,12,Saturday
['Addie Patino' 'Susan Guerrero'],Lunch,2015-07-27 14:00:00+02:00,690,2015,28,Tuesday
['David Bishop' 'Susan Guerrero' 'Karen Stansell'],Dinner,2014-07-17 20:00:00+02:00,181,2014,21,Monday
['Susan Guerrero' 'David Bishop'],Dinner,2014-04-30 21:00:00+02:00,14,2014,29,Tuesday
['Amanda Knowles' 'Cheryl Feaster' 'Ginger Hoagland' 'Michael White'],Breakfast,2014-05-07 09:00:00+02:00,320,2014,8,Thursday
['Cheryl Feaster' 'Amanda Knowles' 'Ginger Hoagland'],Lunch,2015-05-18 13:00:00+02:00,697,2015,23,Saturday
['Glenn Gould' 'Amanda Knowles' 'Ginger Hoagland' 'Michael White'],Dinner,2016-01-14 22:00:00+01:00,451,2016,10,Sunday
['Ginger Hoagland' 'Amanda Knowles' 'Michael White'],Dinner,2016-10-01 22:00:00+02:00,263,2016,3,Monday
['Amanda Knowles'],Breakfast,2018-07-27 08:00:00+02:00,210,2018,23,Monday
['Cheryl Feaster' 'Bret Adams' 'Ginger Hoagland'],Breakfast,2016-12-13 08:00:00+01:00,755,2016,15,Thursday
['Bret Adams'],Lunch,2017-09-14 13:00:00+02:00,469,2017,17,Sunday
['Michael White' 'Ginger Hoagland' 'Bret Adams'],Lunch,2016-09-03 14:00:00+02:00,502,2016,31,Wednesday
['Ginger Hoagland' 'Cheryl Feaster' 'Glenn Gould' 'Bret Adams'],Lunch,2018-12-20 12:00:00+01:00,829,2018,25,Tuesday
['Michael White'],Dinner,2017-05-24 22:00:00+02:00,708,2017,25,Thursday
['Glenn Gould' 'Cheryl Feaster' 'Ginger Hoagland' 'Amanda Knowles'],Breakfast,2018-06-15 07:00:00+02:00,475,2018,20,Wednesday
['Glenn Gould'],Lunch,2017-10-22 14:00:00+02:00,27,2017,22,Sunday
['Amanda Knowles' 'Bret Adams'],Lunch,2017-01-23 13:00:00+01:00,672,2017,27,Friday
['Anthony Emerson' 'Irvin Gentry' 'Melba Inlow'],Lunch,2014-08-27 12:00:00+02:00,552,2014,24,Sunday
"['Anthony Emerson' 'Emma Steitz' 'Melba Inlow' 'Irvin Gentry'
 'Kelly Killebrew']",Breakfast,2017-07-13 08:00:00+02:00,191,2017,9,Sunday
['Irvin Gentry' 'Kelly Killebrew'],Breakfast,2017-03-25 07:00:00+01:00,471,2017,25,Saturday
['Emma Steitz'],Dinner,2015-01-06 22:00:00+01:00,588,2015,5,Monday
['Lewis Eyre'],Lunch,2014-08-09 12:00:00+02:00,98,2014,5,Tuesday
['Anthony Emerson' 'Kelly Killebrew' 'Lewis Eyre'],Breakfast,2016-06-09 08:00:00+02:00,516,2016,10,Friday
"['Kelly Killebrew' 'Lewis Eyre' 'Irvin Gentry' 'Emma Steitz'
 'Anthony Emerson']",Breakfast,2016-09-26 07:00:00+02:00,664,2016,25,Sunday
['Anthony Emerson'],Breakfast,2014-02-01 08:00:00+01:00,323,2014,30,Thursday
['Anthony Emerson' 'Kelly Killebrew' 'Lewis Eyre'],Lunch,2018-01-19 13:00:00+01:00,415,2018,21,Sunday
['Sherika Yates' 'Cheryl Wooster'],Dinner,2014-09-26 20:00:00+02:00,71,2014,28,Sunday
['Sherika Yates'],Breakfast,2015-01-21 08:00:00+01:00,400,2015,25,Sunday
['Anita Katayama'],Dinner,2016-06-07 22:00:00+02:00,633,2016,12,Sunday
['Cheryl Wooster'],Lunch,2016-05-14 12:00:00+02:00,408,2016,12,Thursday
['Sherika Yates'],Dinner,2018-02-12 20:00:00+01:00,326,2018,9,Friday
['Cheryl Wooster' 'Sherika Yates'],Lunch,2018-10-16 12:00:00+02:00,596,2018,20,Saturday
['Sherika Yates' 'Cheryl Wooster'],Breakfast,2015-08-20 09:00:00+02:00,486,2015,16,Sunday
['Anita Katayama'],Breakfast,2015-01-07 07:00:00+01:00,749,2015,3,Saturday
['Sherika Yates'],Breakfast,2015-08-15 09:00:00+02:00,325,2015,20,Thursday
['Cheryl Wooster'],Dinner,2014-11-21 21:00:00+01:00,478,2014,24,Monday
['Sherika Yates'],Breakfast,2015-08-18 08:00:00+02:00,44,2015,23,Sunday
['Cheryl Wooster'],Lunch,2016-12-12 13:00:00+01:00,468,2016,12,Monday
['Cheryl Wooster'],Lunch,2017-02-18 13:00:00+01:00,372,2017,19,Sunday
['Sherika Yates'],Lunch,2018-03-30 12:00:00+02:00,443,2018,26,Monday
['Anita Katayama' 'Cheryl Wooster'],Breakfast,2017-01-11 08:00:00+01:00,341,2017,8,Sunday
['Blake Burmeister' 'Alice Norment'],Dinner,2017-08-23 21:00:00+02:00,104,2017,19,Saturday
['Alice Norment' 'Amy Ortiz' 'Olga Hunter'],Dinner,2015-07-07 20:00:00+02:00,389,2015,11,Saturday
['Alice Norment'],Breakfast,2017-09-29 08:00:00+02:00,159,2017,27,Wednesday
['Alice Norment' 'Blake Burmeister' 'Glenn Collins'],Breakfast,2014-04-06 07:00:00+02:00,232,2014,7,Monday
['Amy Ortiz'],Dinner,2016-11-01 20:00:00+01:00,134,2016,4,Friday
['Blake Burmeister'],Lunch,2018-10-15 14:00:00+02:00,298,2018,11,Thursday
['Amy Ortiz'],Breakfast,2015-06-27 09:00:00+02:00,386,2015,26,Friday
['Glenn Collins'],Breakfast,2016-11-07 07:00:00+01:00,597,2016,12,Saturday
['Amy Ortiz'],Breakfast,2017-10-08 07:00:00+02:00,725,2017,12,Thursday
['Blake Burmeister' 'Amy Ortiz'],Breakfast,2017-06-07 09:00:00+02:00,220,2017,3,Saturday
['Ruth Reinhart'],Breakfast,2018-09-01 09:00:00+02:00,404,2018,2,Sunday
['Rosa Spegal' 'Ruth Reinhart' 'Lidia Niesman'],Dinner,2015-03-17 22:00:00+01:00,467,2015,17,Tuesday
['Ruth Reinhart' 'Rosa Spegal' 'Wanda Beaver'],Lunch,2017-06-11 12:00:00+02:00,476,2017,12,Monday
['Wanda Beaver' 'Lidia Niesman' 'Ruth Reinhart'],Breakfast,2014-04-25 08:00:00+02:00,736,2014,28,Monday
['Wanda Beaver'],Lunch,2014-05-11 13:00:00+02:00,623,2014,13,Tuesday
['Wanda Beaver' 'Rosa Spegal'],Lunch,2015-08-20 13:00:00+02:00,107,2015,23,Sunday
['Wanda Beaver'],Breakfast,2015-05-23 08:00:00+02:00,625,2015,27,Wednesday
['Lidia Niesman'],Dinner,2014-05-20 22:00:00+02:00,66,2014,23,Friday
['Ruth Reinhart' 'Wanda Beaver' 'Lidia Niesman'],Lunch,2017-10-05 13:00:00+02:00,480,2017,6,Friday
['Lidia Niesman' 'Rosa Spegal' 'Wanda Beaver'],Breakfast,2016-09-23 07:00:00+02:00,200,2016,19,Monday
['Lidia Niesman'],Lunch,2015-09-25 13:00:00+02:00,328,2015,29,Tuesday
['David Zamora'],Dinner,2016-04-23 20:00:00+02:00,589,2016,20,Wednesday
['Debbie Mccurley'],Breakfast,2016-04-21 08:00:00+02:00,31,2016,26,Tuesday
['Ben Martinez'],Lunch,2016-10-03 13:00:00+02:00,692,2016,8,Saturday
['Jessica Murphy'],Dinner,2018-07-16 20:00:00+02:00,529,2018,21,Saturday
['Jessica Murphy'],Dinner,2015-09-06 21:00:00+02:00,490,2015,9,Wednesday
['Ben Martinez' 'Jessica Murphy'],Lunch,2015-05-08 12:00:00+02:00,139,2015,5,Tuesday
['Ben Martinez'],Lunch,2016-06-07 13:00:00+02:00,740,2016,3,Friday
['Jessica Murphy' 'David Zamora' 'Debbie Mccurley'],Breakfast,2018-09-06 08:00:00+02:00,590,2018,9,Sunday
['Jessica Murphy'],Lunch,2018-04-08 14:00:00+02:00,402,2018,12,Thursday
['Ben Martinez'],Breakfast,2018-10-13 07:00:00+02:00,160,2018,18,Thursday
['Clara Fleury'],Lunch,2016-11-07 13:00:00+01:00,665,2016,7,Monday
['Ronnie Vandenberge' 'Clara Fleury' 'Irving Henshaw' 'Alexander Thornton'],Breakfast,2014-04-01 07:00:00+02:00,528,2014,28,Friday
['Irving Henshaw'],Breakfast,2014-11-19 09:00:00+01:00,178,2014,21,Friday
"['Alexander Thornton' 'Clara Fleury' 'Donald Pickett' 'Irving Henshaw'
 'Ralph Aragon']",Dinner,2014-10-17 22:00:00+02:00,577,2014,22,Wednesday
['Alexander Thornton'],Lunch,2016-11-29 14:00:00+01:00,353,2016,2,Friday
['Ronnie Vandenberge' 'Ralph Aragon' 'Clara Fleury' 'Donald Pickett'],Dinner,2014-04-19 22:00:00+02:00,285,2014,22,Tuesday
['Irving Henshaw' 'Ralph Aragon'],Lunch,2017-08-21 14:00:00+02:00,515,2017,18,Friday
['Clara Fleury'],Breakfast,2017-12-06 08:00:00+01:00,265,2017,3,Sunday
['Ronnie Vandenberge'],Lunch,2017-09-17 12:00:00+02:00,678,2017,21,Thursday
['Donald Pickett' 'Ronnie Vandenberge'],Dinner,2014-10-22 21:00:00+02:00,34,2014,22,Wednesday
['Donald Pickett'],Dinner,2018-01-16 22:00:00+01:00,629,2018,18,Thursday
['Donald Pickett' 'Ronnie Vandenberge' 'Clara Fleury' 'Ralph Aragon'],Dinner,2016-12-05 22:00:00+01:00,266,2016,10,Saturday
"['Alexander Thornton' 'Ralph Aragon' 'Donald Pickett' 'Clara Fleury'
 'Irving Henshaw']",Dinner,2018-12-22 21:00:00+01:00,515,2018,23,Sunday
['Lois Smith' 'Sylvia Snyder' 'Emil Correll'],Dinner,2015-10-08 22:00:00+02:00,487,2015,11,Sunday
['Leola Aldredge' 'Lois Smith' 'Stephanie Freeman'],Dinner,2017-05-24 22:00:00+02:00,282,2017,24,Wednesday
['Leola Aldredge' 'Stephanie Freeman'],Lunch,2017-07-10 14:00:00+02:00,455,2017,12,Wednesday
['Stephanie Freeman' 'Sylvia Snyder' 'Lois Smith'],Lunch,2015-03-20 12:00:00+01:00,662,2015,21,Saturday
['Stephanie Freeman' 'Emil Correll' 'Leola Aldredge' 'Sylvia Snyder'],Dinner,2015-07-10 22:00:00+02:00,208,2015,10,Friday
['Emil Correll'],Dinner,2018-10-24 22:00:00+02:00,406,2018,23,Tuesday
['Leola Aldredge' 'Stephanie Freeman'],Lunch,2014-07-25 12:00:00+02:00,120,2014,21,Monday
['Leola Aldredge'],Breakfast,2018-04-09 08:00:00+02:00,653,2018,7,Saturday
['Emil Correll' 'Stephanie Freeman'],Lunch,2018-04-16 12:00:00+02:00,397,2018,16,Monday
['Emil Correll'],Breakfast,2017-08-09 08:00:00+02:00,592,2017,10,Thursday
['Lois Smith' 'Stephanie Freeman' 'Sylvia Snyder' 'Emil Correll'],Lunch,2016-02-04 14:00:00+01:00,688,2016,5,Friday
['Lois Smith' 'Sylvia Snyder'],Lunch,2016-07-14 13:00:00+02:00,259,2016,13,Wednesday
['Greta Mccormick'],Breakfast,2014-08-06 09:00:00+02:00,148,2014,11,Monday
['Jeremiah Elder' 'Hilda Duncan' 'Donald Bouchard' 'Melba Moeckel'],Breakfast,2017-07-08 07:00:00+02:00,146,2017,6,Thursday
['Greta Mccormick' 'Hilda Duncan' 'Erika Prater' 'Donald Bouchard'],Breakfast,2015-02-22 07:00:00+01:00,37,2015,24,Tuesday
['Hilda Duncan'],Dinner,2017-05-28 21:00:00+02:00,289,2017,2,Friday
['Donald Bouchard'],Breakfast,2015-08-07 09:00:00+02:00,394,2015,8,Saturday
['Hilda Duncan'],Breakfast,2016-08-15 08:00:00+02:00,516,2016,11,Thursday
['Erika Prater' 'Greta Mccormick' 'Hilda Duncan' 'Donald Bouchard'],Lunch,2016-05-04 13:00:00+02:00,622,2016,3,Tuesday
"['Melba Moeckel' 'Erika Prater' 'Donald Bouchard' 'Jeremiah Elder'
 'Greta Mccormick']",Lunch,2016-12-22 14:00:00+01:00,535,2016,22,Thursday
['John Spangler'],Lunch,2015-01-24 14:00:00+01:00,604,2015,27,Tuesday
['John Spangler'],Dinner,2017-08-07 21:00:00+02:00,286,2017,11,Friday
['Daniel Senato'],Lunch,2015-07-01 13:00:00+02:00,729,2015,3,Friday
['Daniel Senato'],Dinner,2016-01-02 20:00:00+01:00,53,2016,5,Tuesday
['John Spangler'],Lunch,2018-02-14 14:00:00+01:00,526,2018,12,Monday
['John Spangler'],Dinner,2014-08-21 22:00:00+02:00,236,2014,18,Monday
['Daniel Senato'],Breakfast,2014-10-06 09:00:00+02:00,363,2014,8,Wednesday
